2,1,205,121,299,164
2,2,338,149,409,220
2,3,7,143,105,199
2,4,0,96,99,147
2,5,387,91,401,116
2,6,395,95,407,119
3,1,214,121,304,164
3,2,335,144,404,210
3,3,4,143,98,195
3,4,0,95,98,147
3,5,387,91,401,116
3,6,395,96,407,118
4,1,221,121,312,163
4,2,333,138,397,202
4,3,2,141,93,195
4,4,0,94,99,147
4,5,387,92,401,116
4,6,396,96,406,117
5,1,224,121,317,163
5,2,332,137,394,199
5,3,0,141,92,194
5,4,0,94,98,147
5,5,387,92,401,116
5,6,396,96,406,117
6,1,228,120,319,163
6,2,328,138,395,191
6,3,0,141,88,193
6,4,0,95,100,147
6,5,389,92,399,114
6,6,396,96,407,117
7,1,232,120,328,162
7,2,339,127,378,192
7,3,0,140,82,192
7,4,0,95,99,148
7,5,389,92,399,114
7,6,397,96,407,117
8,1,242,120,328,162
8,2,333,121,381,192
8,3,0,139,79,193
8,4,0,95,100,148
8,5,389,92,398,113
8,6,397,96,407,117
8,8,287,223,437,359
8,9,124,248,241,359
9,1,245,120,330,162
9,2,326,124,385,186
9,3,0,139,78,192
9,4,0,94,99,148
9,5,388,91,398,113
9,6,397,96,408,117
9,8,285,220,434,359
9,9,122,243,243,359
10,1,247,120,331,162
10,2,328,126,382,182
10,3,0,138,77,192
10,4,0,94,100,148
10,5,388,91,398,113
10,6,397,96,408,117
10,8,283,220,434,359
10,9,122,241,241,359
11,1,253,120,334,162
11,2,329,125,382,176
11,3,1,136,71,193
11,4,0,94,100,148
11,5,388,91,398,113
11,6,397,96,408,117
11,8,282,210,420,358
11,9,123,228,236,359
12,1,255,120,337,162
12,2,330,125,382,174
12,3,0,134,71,194
12,4,0,94,100,148
12,5,388,91,398,113
12,6,396,96,408,117
12,8,278,206,419,358
12,9,119,224,237,359
13,1,261,118,337,161
13,2,331,124,382,170
13,3,0,133,67,196
13,4,0,94,99,148
13,5,388,91,398,113
13,6,397,96,408,117
13,8,274,201,412,353
13,9,121,221,233,359
14,1,263,118,339,161
14,2,333,123,381,168
14,3,0,134,68,196
14,4,0,94,100,148
14,5,388,91,398,113
14,6,397,96,408,116
14,8,272,198,410,351
14,9,121,219,232,359
15,1,266,117,338,161
15,2,335,121,380,167
15,3,3,132,61,199
15,4,0,94,100,149
15,5,388,91,398,113
15,6,397,96,408,116
15,8,272,194,406,345
15,9,121,224,232,343
16,1,273,116,337,160
16,2,335,119,381,164
16,3,4,131,56,200
16,4,0,94,101,149
16,5,388,91,398,113
16,6,397,96,407,116
16,8,269,191,402,336
16,9,128,221,224,328
17,1,278,118,337,159
17,2,334,118,382,162
17,3,4,131,52,201
17,4,0,94,102,149
17,5,388,91,398,113
17,6,397,96,407,116
17,8,268,185,396,330
17,9,131,217,220,321
18,1,285,119,335,158
18,2,335,117,382,160
18,4,1,94,101,149
18,5,388,91,398,113
18,6,397,96,406,116
18,8,264,181,393,324
18,9,126,202,223,328
19,1,323,116,366,157
19,2,301,117,354,157
19,4,0,94,101,149
19,5,389,92,398,113
19,6,397,96,407,116
19,8,262,175,384,314
19,9,126,201,221,311
19,10,280,103,342,171
