2,1,175,184,245,219
2,2,59,179,130,206
2,3,179,167,240,236
3,1,175,184,245,219
3,2,58,179,129,206
3,3,179,167,240,236
4,1,175,184,245,219
4,2,58,179,129,206
4,3,179,167,240,236
5,1,191,183,257,217
5,2,58,179,129,206
5,3,197,166,252,235
6,1,198,183,262,217
6,3,203,166,258,235
7,1,199,182,263,216
7,3,205,165,260,234
7,4,109,181,184,208
8,1,200,182,264,216
8,3,205,165,260,234
8,4,109,181,184,208
9,1,200,182,264,216
9,3,205,165,260,234
9,4,109,181,184,208
10,1,216,182,271,216
10,3,222,165,266,234
10,4,109,181,184,208
11,1,220,182,275,215
11,3,226,165,270,234
11,4,153,182,220,208
12,1,222,181,278,215
12,3,228,165,272,233
12,4,161,182,228,207
13,1,222,181,278,215
13,3,228,165,272,233
13,4,164,183,231,208
14,1,222,181,278,215
14,3,228,165,272,233
14,4,165,183,232,208
15,1,222,181,278,215
15,3,228,165,272,233
15,4,165,183,232,208
16,1,222,181,278,215
16,3,228,165,272,233
16,4,165,183,232,208
17,1,222,181,278,215
17,3,228,165,272,233
17,4,165,183,231,208
18,1,222,181,278,215
18,3,228,165,272,233
18,4,164,183,231,208
19,1,222,181,277,215
19,3,228,165,271,233
19,4,164,183,231,208
