2,1,193,51,219,78
2,2,209,101,245,116
2,3,197,43,215,89
3,1,192,52,218,79
3,2,209,101,243,115
3,3,196,44,214,90
4,1,192,54,217,81
4,2,207,101,243,115
4,3,195,45,214,91
5,1,191,56,216,82
5,2,205,100,241,114
5,3,195,48,212,94
6,1,191,57,214,84
6,2,205,98,239,113
6,3,194,49,210,95
7,1,191,59,212,86
7,2,203,96,239,110
7,3,194,50,210,96
8,1,189,60,212,88
8,2,203,94,238,109
8,3,193,51,209,97
9,1,190,61,212,89
9,2,203,93,238,108
9,3,193,52,209,98
10,1,189,62,212,90
10,2,204,92,237,107
10,3,193,53,208,99
11,1,188,63,212,92
11,2,204,91,237,106
12,1,189,64,213,93
12,2,204,88,237,103
12,3,193,56,209,102
13,1,190,65,213,93
13,2,204,87,238,101
13,3,193,57,210,103
14,1,190,67,213,94
14,2,204,85,239,99
14,3,194,58,211,104
15,1,190,68,213,96
15,2,205,84,239,98
15,3,189,61,215,102
16,2,209,82,241,97
16,3,191,63,215,102
17,2,212,79,244,94
17,3,190,67,218,98
18,2,217,76,247,92
18,3,193,70,219,98
19,2,221,72,251,89
19,3,196,70,220,98
